19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера карты.
19-01-2025 22:27:12; masks.py; INFO; Успешный возврат маски номера карты.
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера карты.
19-01-2025 22:27:12; masks.py; ERROR; Ошибка. Неверный формат данных.
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера карты.
19-01-2025 22:27:12; masks.py; ERROR; Ошибка. Неверный тип данных.
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера счета.
19-01-2025 22:27:12; masks.py; INFO; Успешный возврат маски номера счета.
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера счета.
19-01-2025 22:27:12; masks.py; ERROR; Ошибка. Неверный формат данных.
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера счета.
19-01-2025 22:27:12; masks.py; ERROR; Ошибка. Неверный тип данных.
19-01-2025 22:27:12; utils.py; INFO; Открытие JSON-файла по пути: ..\data\operations.json
19-01-2025 22:27:12; utils.py; INFO; Успешное открытие JSON-файла
19-01-2025 22:27:12; utils.py; INFO; Открытие JSON-файла по пути:  
19-01-2025 22:27:12; utils.py; ERROR; Ошибка декодирования файла
19-01-2025 22:27:12; utils.py; ERROR; Ошибка. Данные отсутствуют
19-01-2025 22:27:12; utils.py; ERROR; Ошибка типа данных
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера карты.
19-01-2025 22:27:12; masks.py; INFO; Успешный возврат маски номера карты.
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера карты.
19-01-2025 22:27:12; masks.py; INFO; Успешный возврат маски номера карты.
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера карты.
19-01-2025 22:27:12; masks.py; INFO; Успешный возврат маски номера карты.
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера счета.
19-01-2025 22:27:12; masks.py; INFO; Успешный возврат маски номера счета.
19-01-2025 22:27:12; masks.py; INFO; Начало работы функции возврата маски номера счета.
19-01-2025 22:27:12; masks.py; INFO; Успешный возврат маски номера счета.
